State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Ownership_Owned_Households,Ownership_Rented_Households,Households_with_Computer,Households_with_Car_Jeep_Van,Households_with_Television,sex_ratio,litracy_rate
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,46760,299252,35405,1591454,105423,2125,248,5090,97,254972,4718,19324,5341,48405,92.0,58.00719898356259
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,127442,907174,95539,3042729,881476,3534,832,245,236,785953,10615,53205,10325,80085,91.0,46.138084032930486
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,112617,696289,111282,3876395,488121,3943,913,870,1723,665673,18754,57011,11827,107970,94.0,52.32052608064184
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,69375,515925,38133,2119262,436057,2463,271,167,133,412706,5453,33596,9508,61380,102.0,53.98093373489273
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,32633,325909,30851,1525746,217621,8443,162,159,87,300265,5351,22414,4842,27056,92.0,48.77218594584769
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,27641,186660,28132,1045117,75742,691,148,248,60,176076,4205,11302,2522,32086,92.0,54.99634323961422
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,60900,668232,69838,1684589,1365645,8659,2754,212,507,595596,11309,27263,5118,60110,92.0,41.68602771253544
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,40641,373696,21007,1486989,175588,1253,143,79,86,321312,3292,21654,3120,31220,89.0,46.07561644887533
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,58718,401793,43357,531236,1149095,5783,398,183,1476,326865,4776,14073,2436,28736,95.0,44.07572172266919
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,44491,175882,31763,956396,40886,487,140,52,78,158930,3444,8862,2415,31048,90.0,50.68077912943396
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,23236,486278,24000,1753829,241760,1342,170,60,133,394241,3072,23309,4560,23209,91.0,41.692119242946966
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,113281,1047552,41234,3652168,818912,3262,564,328,442,884913,8410,65548,11636,73851,93.0,48.03111125670464
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,90461,222281,85782,1252319,110416,1815,338,95,145,248457,11182,17946,3755,69973,88.0,58.62242417374329
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,180651,998694,120700,4032773,745546,5149,933,288,382,911967,22474,73012,23333,172027,90.0,52.264103233826184
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,101378,514141,102522,2669775,198033,1978,393,414,561,464186,17540,43848,7955,87070,92.0,52.818494794195125
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,31162,379551,45323,1964620,244394,1299,250,176,279,336216,7706,28411,3991,34020,94.0,49.163597167559054
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,57546,839514,96620,3047427,865090,8469,926,1337,296,694531,7910,41143,10911,69056,91.0,44.713144103671574
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,546859,657991,552103,5356075,439952,12551,4803,1062,2151,829728,104162,132582,49821,453344,90.0,59.25665393215511
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,74979,1142260,101565,4086453,990349,4865,668,878,464,967001,9489,70258,19282,96546,90.0,44.65172273207813
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,86058,712847,85749,1989420,1255641,7989,614,353,1450,624039,8720,33664,8390,63200,92.0,40.81107167482637
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,114893,512383,95678,2645415,300487,2889,2569,1584,252,433720,15995,36279,10819,106218,92.0,60.806819648382145
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,41342,432651,38046,1629254,266620,1292,197,60,109,359161,5426,19415,3824,30518,91.0,42.35347597493714
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,88021,1012979,43486,3800598,452370,2126,554,292,231,829443,10874,50918,10621,84248,91.0,50.28386278659066
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,94787,701323,76299,3534772,406449,2330,371,229,322,628222,8764,37442,10948,128169,95.0,54.59335371528662
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,20065,108293,24345,596102,37653,313,75,41,43,100345,2119,8873,1728,16279,93.0,51.65084184290837
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,10004,158484,7516,552492,99342,522,216,73,52,147280,830,6698,1410,11722,89.0,43.23043492836528
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,66263,807294,49670,2672311,740101,2897,261,253,188,720630,6856,42461,7292,61089,90.0,41.96766303284229
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,52935,632514,41858,2712635,608282,2618,369,407,359,535085,6347,37833,10891,74071,99.0,57.95513778260326
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,51028,572287,27815,1809936,409251,3758,271,136,546,430158,5069,25078,4064,26559,93.0,46.35476762568885
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,70001,699317,51494,3152346,333980,2203,707,362,246,620927,6879,39564,11316,101269,89.0,55.12813799974307
